UserId,VenueId,Latitude ,Longitude ,Category,City,Local_sg_time
49529,4bdc94132a3a0f47917db3b6,51.031235,-114.030396,Sporting Goods Shop,Calgary,2012/4/3 18:15
176397,4b3fcbf7f964a520feae25e3,51.115835,-114.069843,Grocery Store,Calgary,2012/4/3 18:18
176397,4b3fcbf7f964a520feae25e3,51.115835,-114.069843,Grocery Store,Calgary,2012/4/4 18:29
21272,4c600fd8cd522d7f1a3ccd3f,51.049227,-114.079217,Building,Calgary,2012/4/3 18:24
21272,4c600fd8cd522d7f1a3ccd3f,51.049227,-114.079217,Building,Calgary,2012/4/3 20:02
21272,4c600fd8cd522d7f1a3ccd3f,51.049227,-114.079217,Building,Calgary,2012/4/9 14:22
21272,4c600fd8cd522d7f1a3ccd3f,51.049227,-114.079217,Building,Calgary,2012/4/9 18:08
21272,4c600fd8cd522d7f1a3ccd3f,51.049227,-114.079217,Building,Calgary,2012/4/10 17:41
15239,4b8c2b39f964a520f0c132e3,51.041939,-114.089416,Coffee Shop,Calgary,2012/4/3 19:30
15239,4b8c2b39f964a520f0c132e3,51.041939,-114.089416,Coffee Shop,Calgary,2012/4/4 19:27
15239,4b8c2b39f964a520f0c132e3,51.041939,-114.089416,Coffee Shop,Calgary,2012/4/9 12:52
15239,4b67279df964a520373e2be3,51.084709,-114.124732,Drugstore / Pharmacy,Calgary,2012/4/3 19:50
15239,4b67279df964a520373e2be3,51.084709,-114.124732,Drugstore / Pharmacy,Calgary,2012/4/9 13:38
201143,4bb6a15946d4a593a095c6c0,50.9299,-113.96616,Department Store,Calgary,2012/4/3 19:58
148455,4b6c7c4af964a520ee3d2ce3,50.980506,-114.041948,Furniture / Home Store,Calgary,2012/4/3 20:17
21272,4b6c7c4af964a520ee3d2ce3,50.980506,-114.041948,Furniture / Home Store,Calgary,2012/4/7 21:14
15239,4b6c7c4af964a520ee3d2ce3,50.980506,-114.041948,Furniture / Home Store,Calgary,2012/4/8 19:56
47946,4b6c7c4af964a520ee3d2ce3,50.980506,-114.041948,Furniture / Home Store,Calgary,2012/4/8 22:26
53896,4b0586f0f964a520e47622e3,51.047708,-114.06714,Building,Calgary,2012/4/3 20:22
53896,4b5f15f5f964a52050a529e3,51.048143,-114.065361,Coffee Shop,Calgary,2012/4/3 20:23
53896,4bef093ec80dc928c26627e3,51.046466,-114.068985,Light Rail,Calgary,2012/4/3 20:38
21272,4bef093ec80dc928c26627e3,51.046466,-114.068985,Light Rail,Calgary,2012/4/10 22:32
